Season,Team,League,GP,G,A,TP,PIM,PlusMinus,PlayerID
2014-15,Finland U20,WJC-20,5,4,0,4,2,3,91186
2014-15,Finland U20 (all),International-Jr,10,4,0,4,6,0,91186
2014-15,Finland (all),International,4,0,0,0,0,2,91186
2014-15,TPS,Champions HL,6,2,0,2,29,0,91186
2014-15,Kingston Frontenacs,OHL,56,29,22,51,70,10,205155
2014-15,Canada U20,WJC-20,7,1,2,3,0,-1,205155
2014-15,Team White,U18-Dev,3,1,0,1,4,,205155
2014-15,OHL All-Stars,Jr Super Series,1,0,0,0,0,0,205155
2014-15,Canada U18,Hlinka Memorial,5,6,0,6,8,7,205155
2014-15,Lada Togliatti,KHL,8,0,1,1,2,-1,263964
2014-15,Ladia Togliatti,MHL,23,15,10,25,39,4,263964
2014-15,Russia U18,WJC-18,5,6,1,7,4,3,263964
2014-15,Russia U18 (all),International-Jr,12,7,1,8,33,,263964
2014-15,Russia U19,WJAC-19,5,3,1,4,2,,263964
2014-15,Saint John Sea Dogs,QMJHL,44,13,20,33,73,2,112379
2014-15,Czech Republic U18,WJC-18,3,1,1,2,4,2,112379
2014-15,Czech Republic U18 (all),International-Jr,9,5,5,10,14,2,112379
2014-15,Czech Republic U18,Hlinka Memorial,5,4,2,6,8,-1,112379
2014-15,Swift Current Broncos,WHL,72,42,39,81,40,-9,84242
2014-15,Sault Ste. Marie Greyhounds,OHL,66,26,19,45,17,30,245108
2014-15,Seattle Thunderbirds,WHL,44,12,45,57,20,13,186310
2014-15,Canada U18,WJC-18,7,3,9,12,0,2,186310
2014-15,Team White,U18-Dev,3,0,1,1,2,,186310
2014-15,Canada U18,Hlinka Memorial,5,2,5,7,0,5,186310
2014-15,Youngstown Phantoms,USHL,56,34,46,80,6,3,177671
2014-15,USA U19,WJAC-19,4,1,1,2,0,,177671
2014-15,Saint John Sea Dogs,QMJHL,66,12,29,41,62,6,213607
2014-15,Canada U18,WJC-18,7,1,4,5,0,1,213607
2014-15,Cape Breton Screaming Eagles,QMJHL,55,32,46,78,70,19,168679
2014-15,Russia U20 (all),International-Jr,2,0,0,0,0,,168679
2014-15,Cape Breton Screaming Eagles,JCWC,4,2,2,4,14,1,168679
2014-15,Russian Selects,Jr Super Series,2,0,0,0,0,0,168679
2014-15,Färjestad BK J20,SuperElit,25,21,11,32,20,13,139633
2014-15,Färjestad BK,SHL,34,4,2,6,4,0,139633
2014-15,Sweden U18,WJC-18,5,5,1,6,2,-4,139633
2014-15,Sweden U18 (all),International-Jr,19,15,7,22,10,-2,139633
2014-15,Färjestad BK,Champions HL,1,0,0,0,0,0,139633
2014-15,Sweden U18,Hlinka Memorial,5,3,1,4,0,2,139633
2014-15,USNTDP Juniors,USHL,20,4,13,17,10,17,183810
2014-15,U.S. National U18 Team,USDP,54,23,31,54,28,,183810
2014-15,USA U18,WJC-18,7,6,3,9,0,8,183810
2014-15,Waterloo Black Hawks,USHL,57,35,33,68,30,-1,248381
2014-15,Team Red,USA-S17,5,2,4,6,-,,248381
2014-15,USA U18,Hlinka Memorial,5,6,2,8,10,6,248381
2014-15,USA U19,WJAC-19,4,4,1,5,6,,248381
2014-15,Ottawa 67's,OHL,60,29,39,68,34,-1,205148
2014-15,Team White,U18-Dev,3,1,1,2,0,,205148
2014-15,OHL All-Stars,Jr Super Series,1,0,0,0,0,0,205148
2014-15,Canada U18,Hlinka Memorial,5,5,1,6,2,3,205148
2014-15,USNTDP Juniors,USHL,25,11,27,38,8,19,226309
2014-15,U.S. National U18 Team,USDP,65,27,52,79,28,,226309
2014-15,USA U18,WJC-18,7,6,5,11,4,11,226309
2014-15,Everett Silvertips,WHL,68,9,43,52,42,22,199905
2014-15,Team Red,U18-Dev,2,0,1,1,0,,199905
2014-15,Frölunda HC J18,J18 Elit,1,0,0,0,0,-2,147719
2014-15,Frölunda HC J18,J18 Allsvenskan,2,1,1,2,0,2,147719
2014-15,Frölunda HC J20,SuperElit,30,8,11,19,49,7,147719
2014-15,Frölunda HC,SHL,20,1,2,3,6,4,147719
2014-15,Sweden U18,WJC-18,5,0,3,3,0,-1,147719
2014-15,Sweden U18 (all),International-Jr,20,0,9,9,14,-2,147719
2014-15,Frölunda HC,Champions HL,5,0,0,0,2,1,147719
2014-15,Sweden U18,Hlinka Memorial,5,0,1,1,2,-2,147719
2014-15,Shawinigan Cataractes,QMJHL,67,42,52,94,72,16,213435
2014-15,Canada U18,WJC-18,6,3,0,3,2,0,213435
2014-15,Team Red,U18-Dev,3,2,1,3,2,,213435
2014-15,QMJHL All-Stars,Jr Super Series,2,0,0,0,2,-1,213435
2014-15,Canada U18,Hlinka Memorial,3,0,0,0,0,1,213435
2014-15,Linköping HC J18,J18 Elit,3,2,0,2,0,2,187919
2014-15,Linköping HC J18,J18 Allsvenskan,4,0,3,3,2,0,187919
2014-15,Linköping HC J20,SuperElit,39,0,7,7,14,21,187919
2014-15,Linköping HC,SHL,7,0,2,2,0,3,187919
2014-15,Sweden U18,WJC-18,5,0,0,0,2,0,187919
2014-15,Sweden U18 (all),International-Jr,20,0,2,2,4,3,187919
2014-15,Sweden U18,Hlinka Memorial,5,0,1,1,0,5,187919
2014-15,Kelowna Rockets,WHL,72,20,70,90,79,29,107894
2014-15,Team White,U18-Dev,3,0,1,1,6,,107894
2014-15,Canada U18,Hlinka Memorial,5,0,4,4,8,9,107894
2014-15,Kelowna Rockets,M-Cup,5,3,2,5,14,1,107894
2014-15,Sherbrooke Phoenix,QMJHL,46,5,38,43,37,-2,151150
2014-15,Canada U18,WJC-18,7,3,1,4,2,-6,151150
2014-15,Team White,U18-Dev,3,1,0,1,0,,151150
2014-15,Canada U18,Hlinka Memorial,5,0,3,3,4,8,151150
2014-15,USNTDP Juniors,USHL,25,15,15,30,10,16,226901
2014-15,U.S. National U18 Team,USDP,66,31,33,64,22,,226901
2014-15,USA U18,WJC-18,7,1,7,8,0,2,226901
2014-15,Saginaw Spirit,OHL,62,22,26,48,44,-17,186392
2014-15,Canada U18,WJC-18,7,5,5,10,10,1,186392
2014-15,Team Red,U18-Dev,3,2,1,3,0,,186392
2014-15,Canada U18,Hlinka Memorial,5,4,2,6,2,9,186392
2014-15,Erie Otters,OHL,61,8,37,45,53,23,214673
2014-15,Kärpät U20,Jr. A SM-liiga,10,1,9,10,4,2,152111
2014-15,Kärpät,Liiga,27,4,7,11,10,4,152111
2014-15,Ässät,Liiga,3,0,2,2,0,2,152111
2014-15,Finland U18,WJC-18,1,0,1,1,0,1,152111
2014-15,Finland U18 (all),International-Jr,9,6,3,9,6,-4,152111
2014-15,Finland U20,WJC-20,5,0,0,0,2,-1,152111
2014-15,Finland U20 (all),International-Jr,13,3,4,7,2,5,152111
2014-15,Kärpät,Champions HL,7,0,1,1,2,3,152111
2014-15,Finland U18,Hlinka Memorial,4,5,2,7,0,2,152111
2014-15,Victoriaville Tigres,QMJHL,67,35,24,59,39,2,156103
2014-15,Tri-City Americans,WHL,63,4,21,25,90,-15,120965
2014-15,USA U20,WJC-20,5,0,1,1,0,1,120965
2014-15,Portland Winterhawks,WHL,66,34,37,71,52,39,216874
2014-15,Boston Univ.,NCAA,37,3,4,7,18,1,151125
2014-15,Baie-Comeau Drakkar,QMJHL,44,10,24,34,99,-3,213821
2014-15,Team Red,U18-Dev,3,0,0,0,4,,213821
2014-15,QMJHL All-Stars,Jr Super Series,2,1,0,1,8,1,213821
2014-15,Canada U18,Hlinka Memorial,5,0,1,1,6,6,213821
2014-15,Seattle Thunderbirds,WHL,67,30,28,58,44,9,120198
2014-15,HC Kosice,Slovakia,43,5,8,13,16,7,166368
2014-15,Slovakia U20,WJC-20,6,0,2,2,4,1,166368
2014-15,Slovakia U20 (all),International-Jr,5,3,2,5,8,2,166368
2014-15,Slovakia (all),International,3,1,0,1,6,2,166368
2014-15,HC Kosice,Champions HL,6,0,1,1,4,-2,166368
2014-15,Peterborough Petes,OHL,67,6,24,30,64,-15,225188
2014-15,Canada U18,WJC-18,7,0,2,2,4,2,225188
2014-15,Team White,U18-Dev,3,0,0,0,0,,225188
2014-15,Canada U18,Hlinka Memorial,5,0,2,2,2,5,225188
2014-15,OHL All-Stars,Jr Super Series,1,0,0,0,0,-2,225188
2014-15,Omaha Lancers,USHL,50,15,38,53,38,10,115158
2014-15,Sweden U20 (all),International-Jr,5,0,0,0,4,0,115158
2014-15,Charlottetown Islanders,QMJHL,68,39,49,88,18,-23,231299
2014-15,Prince George Cougars,WHL,70,20,59,79,45,7,160158
2014-15,Canada U18,WJC-18,7,3,2,5,10,3,160158
2014-15,Team White,U18-Dev,3,0,1,1,2,,160158
2014-15,Canada U18,Hlinka Memorial,5,2,4,6,0,3,160158
2014-15,Charlottetown Islanders,QMJHL,64,33,42,75,42,-16,157524
2014-15,Czech Republic U18,WJC-18,3,0,0,0,2,0,157524
2014-15,Czech Republic U18 (all),International-Jr,8,1,4,5,4,-1,157524
2014-15,Czech Republic U18,Hlinka Memorial,5,1,4,5,2,-1,157524
2014-15,Ilves U20,Jr. A SM-liiga,0,0,0,0,0,,92117
2014-15,Ilves,Liiga,42,5,12,17,10,8,92117
2014-15,Finland U20,WJC-20,5,0,2,2,2,3,92117
2014-15,Finland U20 (all),International-Jr,20,6,4,10,4,6,92117
2014-15,USNTDP Juniors,USHL,22,5,15,20,16,15,183455
2014-15,U.S. National U18 Team,USDP,53,9,34,43,50,,183455
2014-15,USA U18,WJC-18,7,1,6,7,4,6,183455
2014-15,Prince Albert Raiders,WHL,72,5,27,32,36,-6,63250
2014-15,Rouyn-Noranda Huskies,QMJHL,60,15,21,36,88,12,213715
2014-15,Barrie Colts,OHL,67,12,52,64,88,14,86137
2014-15,Niagara IceDogs,OHL,59,25,18,43,33,1,225057
2014-15,Canada U18,WJC-18,5,1,3,4,4,0,225057
2014-15,Team Red,U18-Dev,3,1,1,2,2,,225057
2014-15,Canada U18,Hlinka Memorial,5,0,4,4,0,2,225057
2014-15,Gatineau Olympiques,QMJHL,58,18,49,67,34,17,277485
2014-15,Russia U19 (all),International-Jr,2,0,0,0,2,1,277485
2014-15,Niagara IceDogs,OHL,68,18,38,56,59,8,161816
2014-15,ZSC Lions,NLA,41,0,3,3,39,4,105407
2014-15,GC Küsnacht Lions,NLB,10,1,7,8,10,,105407
2014-15,Switzerland U18,WJC-18,7,0,4,4,20,2,105407
2014-15,Switzerland U18 (all),International-Jr,7,0,4,4,20,,105407
2014-15,Switzerland U20,WJC-20,6,0,1,1,8,9,105407
2014-15,Switzerland U20 (all),International-Jr,12,0,1,1,12,,105407
2014-15,ZSC Lions,Champions HL,4,0,0,0,6,,105407
2014-15,ZSC Lions,Swiss Cup,1,0,0,0,0,,105407
2014-15,HV71 J20,SuperElit,36,14,22,36,16,4,142262
2014-15,HV71,SHL,17,1,0,1,2,-3,142262
2014-15,Sweden U19 (all),International-Jr,4,0,3,3,0,2,142262
2014-15,JYP,Liiga,9,0,3,3,0,0,85961
2014-15,JYP-Akatemia,Mestis,39,11,18,29,8,9,85961
2014-15,Finland U18,WJC-18,7,2,2,4,2,-1,85961
2014-15,Finland U18 (all),International-Jr,23,11,20,31,10,3,85961
2014-15,JYP,Champions HL,4,0,0,0,0,0,85961
2014-15,Finland U18,Hlinka Memorial,4,1,6,7,0,1,85961
2014-15,Färjestad BK J20,SuperElit,10,4,3,7,2,-1,142238
2014-15,Färjestad BK,SHL,18,2,3,5,4,-2,142238
2014-15,AIK,Allsvenskan,17,4,3,7,6,-2,142238
2014-15,Sweden U18,WJC-18,5,0,2,2,4,-7,142238
2014-15,Sweden U18 (all),International-Jr,16,1,6,7,10,-2,142238
2014-15,Sweden U20 (all),International-Jr,5,0,0,0,2,-2,142238
2014-15,Färjestad BK,Champions HL,6,0,0,0,2,0,142238
2014-15,Sweden U18,Hlinka Memorial,5,1,2,3,2,5,142238
2014-15,USNTDP Juniors,USHL,24,14,18,32,6,20,197800
2014-15,U.S. National U18 Team,USDP,65,30,64,94,10,,197800
2014-15,USA U18,WJC-18,7,3,10,13,2,10,197800
2014-15,AIK J20,SuperElit,9,5,5,10,8,5,85693
2014-15,AIK,Allsvenskan,52,17,11,28,63,-6,85693
2014-15,Sweden U19 (all),International-Jr,4,4,2,6,2,2,85693
2014-15,Sudbury Wolves,OHL,68,10,30,40,54,-49,225186
2014-15,Canada U18,WJC-18,7,1,1,2,2,2,225186
2014-15,Shawinigan Cataractes,QMJHL,59,33,31,64,71,23,183259
2014-15,Team Red,USA-S17,5,6,1,7,-,,183259
2014-15,USA U18,Hlinka Memorial,5,4,4,8,4,4,183259
2014-15,Lethbridge Hurricanes,WHL,59,7,17,24,101,-9,131262
2014-15,Acadie-Bathurst Titan,QMJHL,63,4,24,28,34,-40,213397
2014-15,Canada U18,WJC-18,7,1,0,1,2,-5,213397
2014-15,Team Red,U18-Dev,3,0,0,0,0,,213397
2014-15,QMJHL All-Stars,Jr Super Series,1,0,0,0,0,1,213397
2014-15,Canada U18,Hlinka Memorial,5,0,3,3,4,8,213397
2014-15,Sault Ste. Marie Greyhounds,OHL,57,24,43,67,12,25,186413
2014-15,Team White,U18-Dev,3,1,0,1,0,,186413
2014-15,Ogre/Saga 18,Latvia,6,5,5,10,12,,239362
2014-15,HK Riga,MHL,32,10,18,28,49,3,239362
2014-15,Latvia U18,WJC-18,6,3,6,9,10,2,239362
2014-15,Latvia U18 (all),International-Jr,7,3,9,12,12,,239362
2014-15,Latvia U20,WJC-20 D1A,5,2,2,4,2,2,239362
2014-15,Latvia U20 (all),International-Jr,10,4,4,8,4,,239362
2014-15,Seattle Thunderbirds,WHL,64,19,19,38,85,-7,197560
2014-15,Rouyn-Noranda Huskies,QMJHL,68,14,39,53,29,16,204169
2014-15,Oshawa Generals,OHL,68,13,23,36,22,34,274875
2014-15,Oshawa Generals,M-Cup,4,2,1,3,0,3,274875
2014-15,Green Bay Gamblers,USHL,57,6,17,23,14,-3,122954
2014-15,Finland U18,WJC-18,7,3,6,9,4,2,122954
2014-15,Finland U18 (all),International-Jr,12,4,8,12,6,2,122954
2014-15,Finland U18,Hlinka Memorial,4,1,3,4,2,-1,122954
2014-15,SKA-1946 St. Petersburg,MHL,45,10,29,39,52,5,231966
2014-15,Russia U20,WJC-20,7,1,3,4,2,2,231966
2014-15,Russia U20 (all),International-Jr,13,1,5,6,2,,231966
2014-15,Russian Selects,Jr Super Series,6,0,2,2,0,0,231966
2014-15,Cedar Rapids RoughRiders,USHL,55,27,27,54,80,12,212561
2014-15,Team Orange,USA-S17,5,3,3,6,-,,212561
2014-15,USA U18,Hlinka Memorial,5,2,1,3,4,2,212561
2014-15,Regina Pats,WHL,71,3,16,19,70,15,277798
2014-15,Green Bay Gamblers,USHL,33,10,17,27,18,-9,208974
2014-15,Team Kelly,USA-S17,5,2,3,5,-,,208974
2014-15,USA U18,Hlinka Memorial,1,0,0,0,0,-1,208974
2014-15,USNTDP Juniors,USHL,20,7,6,13,33,5,208973
2014-15,U.S. National U18 Team,USDP,61,19,19,38,49,,208973
2014-15,USA U18,WJC-18,7,2,2,4,0,6,208973
2014-15,Oshawa Generals,OHL,58,12,51,63,38,31,204918
2014-15,Team Red,U18-Dev,3,0,1,1,0,,204918
2014-15,OHL All-Stars,Jr Super Series,2,0,1,1,0,-1,204918
2014-15,Oshawa Generals,M-Cup,4,0,2,2,0,0,204918
2014-15,Canada U18,Hlinka Memorial,4,1,1,2,0,4,204918
2014-15,Brynäs IF J18,J18 Allsvenskan,1,1,4,5,0,3,146691
2014-15,Brynäs IF J20,SuperElit,18,10,8,18,4,18,146691
2014-15,Brynäs IF,SHL,43,2,4,6,2,-4,146691
2014-15,Sweden U18,WJC-18,4,0,0,0,2,-1,146691
2014-15,Sweden U18 (all),International-Jr,15,1,6,7,6,2,146691
2014-15,Sweden U20,WJC-20,7,3,0,3,0,-1,146691
2014-15,Sweden U20 (all),International-Jr,8,4,0,4,0,-1,146691
2014-15,Sweden U18,Hlinka Memorial,5,0,4,4,2,2,146691
2014-15,Kamloops Blazers,WHL,64,17,25,42,25,18,202370
2014-15,Canada U18,WJC-18,7,3,1,4,12,0,202370
2014-15,Waterloo Black Hawks,USHL,46,14,34,48,12,14,248374
2014-15,Team Gold,USA-S17,5,0,2,2,-,,248374
2014-15,USA U18,Hlinka Memorial,5,5,6,11,2,6,248374
2014-15,USA U19,WJAC-19,4,3,4,7,0,,248374
2014-15,Djurgårdens IF J20,SuperElit,34,23,25,48,51,28,142243
2014-15,Djurgårdens IF,SHL,3,0,0,0,0,0,142243
2014-15,Owen Sound Attack,OHL,68,14,35,49,36,0,232612
2014-15,Ässät,Liiga,51,6,6,12,18,-7,94117
2014-15,Finland U18,WJC-18,7,3,5,8,6,6,94117
2014-15,Finland U18 (all),International-Jr,8,3,6,9,6,6,94117
2014-15,Finland U20 (all),International-Jr,7,0,0,0,2,,94117
2014-15,Chicago Steel,USHL,59,4,23,27,89,2,267396
2014-15,Moorhead High,USHS-MN,24,5,21,26,64,,248330
2014-15,Great Plains,USHS-MN,17,1,6,7,41,,248330
2014-15,Omaha Lancers,USHL,18,1,5,6,0,-2,248330
2014-15,Red Deer Rebels,WHL,66,15,24,39,71,-7,189422
2014-15,Team Red,U18-Dev,3,0,0,0,0,,189422
2014-15,Canada U18,Hlinka Memorial,5,1,2,3,8,2,189422
2014-15,MODO Hockey J18,J18 Elit,1,0,1,1,2,1,187806
2014-15,MODO Hockey J18,J18 Allsvenskan,5,0,8,8,6,0,187806
2014-15,MODO Hockey J20,SuperElit,39,6,27,33,39,11,187806
2014-15,MODO Hockey,SHL,4,0,1,1,0,0,187806
2014-15,Sweden U18,WJC-18,5,1,1,2,0,-2,187806
2014-15,Sweden U18 (all),International-Jr,15,1,2,3,6,-2,187806
2014-15,Chicoutimi Saguenéens,QMJHL,68,16,34,50,40,-3,151361
2014-15,Canada U18,WJC-18,7,3,3,6,6,2,151361
2014-15,Team Red,U18-Dev,3,1,2,3,2,,151361
2014-15,QMJHL All-Stars,Jr Super Series,2,0,0,0,0,-1,151361
2014-15,Canada U18,Hlinka Memorial,5,1,4,5,2,8,151361
2014-15,Sault Ste. Marie Greyhounds,OHL,67,6,16,22,30,38,204911
2014-15,Saint John Sea Dogs,QMJHL,66,14,20,34,73,12,135860
2014-15,Regina Pats,WHL,61,20,19,39,53,13,161117
2014-15,Val-d'Or Foreurs,QMJHL,66,43,48,91,78,-9,155661
2014-15,QMJHL All-Stars,Jr Super Series,2,1,0,1,0,2,155661
2014-15,Dynamo Moskva,KHL,52,5,3,8,20,-4,159421
2014-15,Dynamo Balashikha,VHL,1,0,0,0,2,0,159421
2014-15,Russia,EHT,9,0,1,1,14,-3,159421
2014-15,Russia,WC,8,0,1,1,2,-1,159421
2014-15,Russia (all),International,20,0,2,2,20,,159421
2014-15,GCK Lions U20,Elite Jr. A,0,0,0,0,0,,117376
2014-15,GC Küsnacht Lions,NLB,24,6,6,12,4,,117376
2014-15,ZSC Lions,NLA,23,2,6,8,8,4,117376
2014-15,Switzerland U18,WJC-18,7,3,2,5,2,0,117376
2014-15,Switzerland U18 (all),International-Jr,7,3,2,5,2,,117376
2014-15,Switzerland U20,WJC-20,6,1,6,7,0,6,117376
2014-15,Switzerland U20 (all),International-Jr,16,7,9,16,2,,117376
2014-15,GC Küsnacht Lions,Swiss Cup,1,0,0,0,0,,117376
2014-15,ZSC Lions,Champions HL,1,0,0,0,0,-1,117376
2014-15,London Knights,OHL,64,7,9,16,49,4,226615
2014-15,Tolpar Ufa,MHL,39,8,12,20,40,8,285679
2014-15,Russia U18,WJC-18,5,1,3,4,2,6,285679
2014-15,Russia U18 (all),International-Jr,12,2,2,4,8,,285679
2014-15,Russia U19,WJAC-19,5,1,1,2,2,,285679
2014-15,Brandon Wheat Kings,WHL,33,13,12,25,69,10,199921
2014-15,Regina Pats,WHL,33,10,9,19,43,-8,199921
2014-15,Spokane Chiefs,WHL,69,44,43,87,59,10,119394
2014-15,Muskegon Lumberjacks,USHL,56,14,27,41,107,14,188788
2014-15,USA U19,WJAC-19,4,0,4,4,4,,188788
2014-15,HC Pardubice U18,Czech U18,0,0,0,0,0,,199564
2014-15,HC Pardubice U20,Czech U20,5,2,5,7,38,0,199564
2014-15,HC Pardubice,Czech,40,5,7,12,12,-11,199564
2014-15,Czech Republic U18,WJC-18,5,1,4,5,0,3,199564
2014-15,Czech Republic U18 (all),International-Jr,12,3,10,13,4,3,199564
2014-15,Czech Republic U20,WJC-20,5,0,1,1,2,2,199564
2014-15,Czech Republic U20 (all),International-Jr,5,0,1,1,2,2,199564
2014-15,HC Pardubice,Champions HL,3,0,0,0,2,-2,199564
2014-15,HV71 J18,J18 Elit,1,0,1,1,0,0,162177
2014-15,HV71 J18,J18 Allsvenskan,0,0,0,0,0,,162177
2014-15,HV71 J20,SuperElit,34,20,22,42,53,5,162177
2014-15,HV71,SHL,15,0,2,2,2,-2,162177
2014-15,Sweden U18,WJC-18,5,0,3,3,16,-6,162177
2014-15,Sweden U18 (all),International-Jr,20,3,9,12,55,-7,162177
2014-15,Sweden U18,Hlinka Memorial,5,0,2,2,27,0,162177
2014-15,Tri-City Americans,WHL,72,9,33,42,93,-13,195951
2014-15,Canada U18,WJC-18,7,1,4,5,6,9,195951
2014-15,Team Red,U18-Dev,3,0,1,1,0,,195951
2014-15,Prince George Cougars,WHL,67,23,26,49,30,-3,199394
2014-15,Omskie Yastreby,MHL,35,3,16,19,42,-1,277804
2014-15,Russia U18,WJC-18,5,3,3,6,2,1,277804
2014-15,Russia U18 (all),International-Jr,16,6,10,16,58,,277804
2014-15,Russia U18,Hlinka Memorial,4,1,4,5,16,-3,277804
2014-15,Russia U19,WJAC-19,5,1,3,4,4,,277804
2014-15,Gatineau Olympiques,QMJHL,68,12,43,55,64,17,151143
2014-15,QMJHL All-Stars,Jr Super Series,2,0,2,2,2,-1,151143
2014-15,Swift Current Broncos,WHL,72,15,39,54,59,-9,192245
2014-15,Canada U18,WJC-18,7,2,2,4,4,2,192245
2014-15,Team Red,U18-Dev,3,0,0,0,0,,192245
2014-15,USNTDP Juniors,USHL,25,2,6,8,28,14,199902
2014-15,U.S. National U18 Team,USDP,65,6,19,25,50,,199902
2014-15,USA U18,WJC-18,7,0,5,5,0,6,199902
2014-15,KalPa U20,Jr. A SM-liiga,26,11,16,27,26,3,131138
2014-15,KalPa,Liiga,32,4,0,4,6,3,131138
2014-15,Finland U18,WJC-18,7,1,4,5,4,-1,131138
2014-15,Finland U18 (all),International-Jr,23,7,18,25,16,6,131138
2014-15,KalPa,Champions HL,3,0,0,0,0,-1,131138
2014-15,Finland U18,Hlinka Memorial,4,1,0,1,4,3,131138
2014-15,Djurgårdens IF J20,SuperElit,44,26,35,61,22,23,142253
2014-15,Djurgårdens IF,SHL,2,0,0,0,0,-3,142253
2014-15,Sweden U19 (all),International-Jr,4,1,4,5,4,0,142253
2014-15,Saint John Sea Dogs,QMJHL,59,21,21,42,46,18,227640
2014-15,Boston College High,USHS-Prep,22,6,29,35,-,,232931
2014-15,Cape Cod Whalers U18,MHSL U18,14,3,6,9,0,,232931
2014-15,Youngstown Phantoms,USHL,2,0,0,0,0,-2,232931
2014-15,Team White,USA-S17,5,0,3,3,-,,232931
2014-15,Kelowna Rockets,WHL,64,4,7,11,33,17,268073
2014-15,Kelowna Rockets,M-Cup,5,0,0,0,0,2,268073
2014-15,Moncton Wildcats,QMJHL,67,35,94,129,66,21,177208
2014-15,Seattle Thunderbirds,WHL,69,13,25,38,23,1,197561
2014-15,Canada U18,WJC-18,7,0,3,3,6,7,197561
2014-15,Team White,U18-Dev,3,0,0,0,0,,197561
2014-15,Canada U18,Hlinka Memorial,5,1,1,2,2,7,197561
2014-15,Québec Remparts,QMJHL,66,19,71,90,54,17,115161
2014-15,Québec Remparts,M-Cup,5,3,1,4,8,-2,115161
2014-15,Noble & Greenough School,USHS-Prep,23,11,18,29,-,,248399
2014-15,Cape Cod Whalers U18,MHSL U18,14,5,12,17,0,,248399
2014-15,Team White,USA-S17,5,1,3,4,-,,248399
2014-15,KalPa U20,Jr. A SM-liiga,37,9,14,23,80,7,94439
2014-15,KalPa,Liiga,10,0,1,1,4,-1,94439
2014-15,Hokki,Mestis,5,1,0,1,8,-2,94439
2014-15,Finland U20 (all),International-Jr,7,0,2,2,6,-1,94439
2014-15,KLH Chomutov U20,Czech U20,8,7,8,15,2,8,158842
2014-15,Piráti Chomutov,Czech2,30,7,7,14,10,11,158842
2014-15,Czech Republic U18,WJC-18,4,2,3,5,2,3,158842
2014-15,Czech Republic U18 (all),International-Jr,15,4,11,15,6,3,158842
2014-15,Czech Republic U20,WJC-20,4,0,1,1,0,3,158842
2014-15,Czech Republic U20 (all),International-Jr,7,1,1,2,2,2,158842
2014-15,Czech Republic U18,Hlinka Memorial,5,1,1,2,4,1,158842
2014-15,Prince George Cougars,WHL,64,3,23,26,140,3,120650
2014-15,HS Prizma/Pardaugava U18,Latvia U18,3,2,2,4,0,,214273
2014-15,HK Riga,MHL,56,7,8,15,40,-3,214273
2014-15,Latvia U18,WJC-18,6,2,4,6,8,2,214273
2014-15,Latvia U18 (all),International-Jr,7,4,5,9,10,,214273
2014-15,Latvia U20,WJC-20 D1A,5,1,2,3,2,0,214273
2014-15,Latvia U20 (all),International-Jr,10,1,4,5,8,,214273
2014-15,Latvia (all),International,1,0,0,0,0,0,214273
2014-15,HK Riga,JCWC,5,0,0,0,2,0,214273
2014-15,Medicine Hat Tigers,WHL,71,17,23,40,24,-2,199714
2014-15,Culver Military Academy Prep,USHS-Prep,32,19,24,43,10,32,245262
2014-15,U.S. National U18 Team,USDP,2,0,0,0,0,,245262
2014-15,Team Orange,USA-S17,5,3,2,5,-,,245262
2014-15,USA U18,Hlinka Memorial,5,3,1,4,4,0,245262
2014-15,Muskegon Lumberjacks,USHL,60,3,14,17,35,10,232945
2014-15,Team Orange,USA-S17,5,0,2,2,-,,232945
2014-15,USA U18,Hlinka Memorial,5,0,0,0,4,-2,232945
2014-15,Sudbury Wolves,OHL,66,24,16,40,68,-57,189373
2014-15,Metallurg Novokuznetsk,KHL,31,4,4,8,6,-4,265645
2014-15,Kuznetskie Medvedi,MHL,3,0,2,2,2,1,265645
2014-15,Russia U18,WJC-18,4,1,3,4,2,0,265645
2014-15,Russia U18 (all),International-Jr,13,7,7,14,4,,265645
2014-15,Russia U18,Hlinka Memorial,4,5,2,7,0,1,265645
2014-15,Russia U19,WJAC-19,5,2,1,3,0,,265645
2014-15,Calgary Hitmen,WHL,69,20,22,42,51,-4,268038
2014-15,Russia U18 (all),International-Jr,4,0,1,1,2,,268038
2014-15,Russia U18,Hlinka Memorial,4,0,1,1,2,-1,268038
2014-15,HC Plzen,Czech,52,18,12,30,20,0,105831
2014-15,Czech Republic,EHT,10,2,0,2,0,3,105831
2014-15,Czech Republic,WC,10,1,5,6,2,5,105831
2014-15,Czech Republic (all),International,23,5,6,11,2,11,105831
2014-15,Saint John Sea Dogs,QMJHL,66,23,33,56,73,17,166979
2014-15,Luleå HF J20,SuperElit,23,4,8,12,74,7,166373
2014-15,Luleå HF,SHL,25,0,1,1,6,-3,166373
2014-15,Asplöven HC,Allsvenskan,6,0,1,1,0,-4,166373
2014-15,Slovakia U20,WJC-20,7,0,1,1,8,2,166373
2014-15,Slovakia U20 (all),International-Jr,7,1,2,3,20,2,166373
2014-15,Slovakia (all),International,7,0,1,1,8,3,166373
2014-15,Luleå HF,Champions HL,5,0,0,0,0,0,166373
2014-15,Youngstown Phantoms,USHL,57,12,14,26,96,9,245117
2014-15,Blues U20,Jr. A SM-liiga,42,13,31,44,42,22,104435
2014-15,Blues,Liiga,2,0,1,1,0,0,104435
2014-15,Finland U18,WJC-18,7,0,1,1,10,-1,104435
